Date,Category,Description,Amount
08-07-2026,Transportation,Lyft,24.78
08-15-2026,Food,Ubereats,25.41
08-03-2026,Entertainment,Cineplex,16.00
08-04-2026,Entertainment,Netflix subscription,24.54
08-10-2026,Shopping,Personal care,55.00
08-15-2026,Transportation,Uber,16.00
08-20-2026,Food,Grocery,70.00
08-02-2026,Shopping,Clothes,100.21
08-17-2026,School,School supplies,50.00
08-17-2026,Transportation,Bus pass,50.45
09-01-2026,Rent,Apartment,600.00
10-02-2026,Rent,Apartment,600.00
11-01-2026,Utilities,Hydro,60.00
09-08-2026,Food,Grocery,100.59
09-15-2026,Shopping,Personal care,50.68
11-08-2026,Entertainment,Gala,45
11-28-2026,Shopping,Shein,100.00
10-05-2026,Utilities,Hydro,70.00
09-10-2026,Utilities,Hydro,50.00
10-16-2026,Food,Ubereats,30.00
10-23-2026,Food,Door Dash,25.00
10-24-2026,Shopping,Amazon,38.79
11-01-2026,Rent,Apartment,600.00
11-25-2026,Transportation,Uber,20.83
10-04-2026,Transportation,Lyft,10.49
09-06-2026,School,Text book,90.00
10-25-2026,School,Printing,5.59
12-01-2026,Rent,Apartment,600.00
01-02-2027,Rent,Apartment,600.00
12-24-2026,Shopping,Christmas Gifts,200.00
12-16-2026,Food,Grocery,200.00
12-19-2026,Utilities,Hydro,50.00
01-09-2027,School,School supplies,40.00
01-20-2027,Transportation,Bus pass,350.00
01-07-2027,Food,Grocery,150.00
01-19-2027,Utilities,Hydro,40.00
12-25-2026,Entertainment,Ballet Show, 100.00
